id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,Arsenal,ARS,4,1180,1240,1170,1170,1150,1200
2,Aston Villa,AVL,2,1020,1050,970,980,1000,1040
3,Bournemouth,BOU,2,1020,1020,990,1030,1000,1050
4,Brighton,BHA,2,1050,1010,1100,1100,1040,1030
5,Burnley,BUR,3,1110,1180,1130,1070,970,1110
6,Chelsea,CHE,4,1220,1230,1240,1240,1220,1250
7,Crystal Palace,CRY,3,1130,1120,1080,1180,1040,1040
8,Everton,EVE,3,1100,1240,1100,1210,1170,1180
9,Leicester,LEI,3,1210,1160,1150,1080,1210,1100
10,Liverpool,LIV,5,1340,1350,1310,1320,1310,1330
11,Man City,MCI,5,1330,1340,1260,1270,1320,1320
12,Man Utd,MUN,4,1220,1300,1260,1330,1180,1260
13,Newcastle,NEW,3,1090,1100,1030,1040,980,990
14,Norwich,NOR,2,980,1020,1030,1040,990,990
15,Sheffield Utd,SHU,3,1180,1200,1170,1180,1050,1110
16,Southampton,SOU,3,1150,1040,1080,1050,1110,1080
17,Spurs,TOT,4,1180,1240,1100,1130,1200,1140
18,Watford,WAT,3,1030,1140,1120,1120,1020,1150
19,West Ham,WHU,2,1040,1030,1000,1030,1030,1150
20,Wolves,WOL,4,1230,1190,1180,1230,1200,1200
